joint_1,joint_2,joint_3,joint_4,joint_5,joint_6,tcp_rx,tcp_ry,tcp_rz,tcp_x,tcp_y,tcp_z,timestamp
-6.599,-86.024,130.377,-127.678,-88.897,67.285,176.397,-5.73,16.233,-583.205,-94.65,350.141,0.0
-6.599,-86.023,130.377,-127.678,-88.897,67.285,176.397,-5.73,16.233,-583.206,-94.65,350.138,0.101
-6.598,-86.024,130.377,-127.678,-88.897,67.284,176.397,-5.73,16.233,-583.203,-94.653,350.142,0.202
-6.599,-86.024,130.377,-127.678,-88.897,67.284,176.397,-5.73,16.233,-583.207,-94.65,350.142,0.303
-6.599,-86.024,130.377,-127.678,-88.897,67.285,176.397,-5.73,16.233,-583.205,-94.648,350.141,0.404
-6.599,-86.024,130.377,-127.678,-88.897,67.285,176.397,-5.73,16.233,-583.205,-94.65,350.141,0.505
-6.599,-86.024,130.377,-127.678,-88.897,67.285,176.397,-5.73,16.233,-583.204,-94.65,350.143,0.606
-6.599,-86.024,130.377,-127.678,-88.897,67.285,176.397,-5.73,16.233,-583.203,-94.648,350.139,0.707
-6.599,-86.024,130.377,-127.678,-88.897,67.285,176.397,-5.73,16.233,-583.204,-94.65,350.14,0.808
-6.599,-86.023,130.377,-127.678,-88.897,67.284,176.397,-5.73,16.233,-583.208,-94.65,350.141,0.908
-6.599,-86.023,130.377,-127.678,-88.897,67.284,176.397,-5.73,16.233,-583.206,-94.65,350.138,1.009
-6.599,-86.024,130.377,-127.678,-88.897,67.285,176.397,-5.73,16.233,-583.207,-94.648,350.142,1.11
-6.599,-86.024,130.377,-127.678,-88.897,67.285,176.397,-5.731,16.233,-583.201,-94.649,350.137,1.211
-6.599,-86.024,130.377,-127.678,-88.897,67.285,176.397,-5.73,16.233,-583.205,-94.65,350.141,1.312
-6.599,-86.023,130.377,-127.678,-88.897,67.284,176.397,-5.73,16.233,-583.206,-94.65,350.138,1.413
-6.599,-86.023,130.377,-127.678,-88.897,67.285,176.397,-5.731,16.233,-583.205,-94.65,350.138,1.514
-6.599,-86.023,130.377,-127.678,-88.897,67.285,176.397,-5.73,16.233,-583.206,-94.65,350.139,1.615
-6.599,-86.024,130.377,-127.678,-88.897,67.285,176.397,-5.73,16.233,-583.204,-94.65,350.14,1.716
-6.599,-86.024,130.377,-127.678,-88.897,67.285,176.397,-5.73,16.233,-583.205,-94.65,350.141,1.816
-6.599,-86.024,130.377,-127.678,-88.897,67.285,176.397,-5.73,16.233,-583.205,-94.65,350.141,1.917
-6.599,-86.024,130.377,-127.678,-88.897,67.285,176.397,-5.73,16.233,-583.205,-94.65,350.141,2.018
-6.599,-86.024,130.377,-127.678,-88.897,67.284,176.397,-5.73,16.233,-583.205,-94.65,350.141,2.118
-6.599,-86.024,130.377,-127.678,-88.897,67.284,176.397,-5.731,16.233,-583.202,-94.651,350.138,2.219
-6.599,-86.023,130.377,-127.678,-88.897,67.285,176.397,-5.73,16.233,-583.206,-94.648,350.139,2.32
-6.598,-86.023,130.377,-127.678,-88.897,67.285,176.397,-5.73,16.233,-583.204,-94.653,350.137,2.421
-6.599,-86.024,130.377,-127.678,-88.897,67.285,176.398,-5.73,16.233,-583.205,-94.65,350.143,2.522
-6.599,-86.023,130.377,-127.678,-88.897,67.284,176.397,-5.73,16.233,-583.206,-94.65,350.139,2.623
-6.599,-86.023,130.377,-127.678,-88.897,67.284,176.397,-5.73,16.233,-583.206,-94.648,350.138,2.724
-6.599,-86.023,130.377,-127.678,-88.897,67.284,176.397,-5.73,16.233,-583.208,-94.65,350.14,2.824
-6.599,-86.024,130.377,-127.678,-88.897,67.284,176.397,-5.73,16.233,-583.205,-94.65,350.141,2.925
-6.599,-86.024,130.377,-127.678,-88.897,67.285,176.398,-5.73,16.233,-583.206,-94.648,350.141,3.026
-6.599,-86.024,130.377,-127.678,-88.897,67.284,176.397,-5.73,16.233,-583.204,-94.65,350.143,3.127
-6.599,-86.023,130.377,-127.678,-88.897,67.285,176.397,-5.73,16.233,-583.206,-94.65,350.138,3.228
-6.599,-86.023,130.377,-127.678,-88.897,67.284,176.397,-5.73,16.233,-583.208,-94.65,350.14,3.328
-6.599,-86.024,130.377,-127.678,-88.897,67.285,176.397,-5.73,16.233,-583.205,-94.65,350.141,3.429
-6.599,-86.024,130.377,-127.678,-88.897,67.285,176.397,-5.73,16.233,-583.205,-94.65,350.141,3.53
-6.599,-86.024,130.377,-127.678,-88.897,67.284,176.397,-5.73,16.233,-583.205,-94.648,350.141,3.631
-6.599,-86.024,130.376,-127.679,-88.897,67.285,176.398,-5.728,16.233,-583.216,-94.647,350.151,3.732
-6.599,-86.025,130.374,-127.68,-88.897,67.285,176.399,-5.725,16.233,-583.227,-94.648,350.178,3.833
-6.598,-86.028,130.363,-127.686,-88.892,67.284,176.403,-5.704,16.233,-583.335,-94.651,350.327,3.934
-6.597,-86.042,130.105,-127.702,-88.89,67.284,176.513,-5.438,16.223,-585.678,-94.393,352.835,4.034
-6.597,-86.061,129.076,-127.724,-88.888,67.284,176.928,-4.45,16.187,-594.958,-93.323,362.544,4.135
-6.597,-86.079,127.247,-127.744,-88.891,67.284,177.654,-2.73,16.141,-611.016,-91.459,380.018,4.236
-6.597,-86.113,125.156,-127.744,-88.89,67.284,178.475,-0.769,16.116,-628.588,-89.427,400.737,4.336
-6.598,-86.128,122.983,-127.746,-88.89,67.284,179.32,1.25,16.119,-646.113,-87.396,422.723,4.437
-6.597,-86.131,120.77,-127.746,-88.89,67.284,-179.823,3.295,16.154,-663.147,-85.431,445.679,4.538
-6.597,-86.136,118.4,-127.758,-88.889,67.284,-178.896,5.496,16.225,-680.412,-83.435,471.012,4.639
-6.597,-86.152,115.813,-127.758,-88.89,67.284,-177.877,7.894,16.343,-697.958,-81.403,499.572,4.739
-6.597,-86.192,113.119,-127.755,-88.891,67.285,-176.794,10.407,16.516,-714.697,-79.47,530.409,4.84
-6.597,-86.289,110.592,-127.746,-88.893,67.284,-175.74,12.809,16.727,-728.664,-77.848,560.78,4.941
-6.598,-86.553,108.536,-127.718,-88.896,67.284,-174.798,14.91,16.952,-737.661,-76.796,588.276,5.042
-6.597,-87.154,107.076,-127.626,-88.897,67.285,-173.975,16.714,17.176,-740.207,-76.507,613.172,5.143
-6.597,-88.155,106.02,-127.583,-88.898,67.285,-173.118,18.555,17.435,-737.072,-76.863,638.563,5.243
-6.597,-89.279,105.379,-127.566,-88.898,67.285,-172.361,20.15,17.686,-730.452,-77.632,660.531,5.344
-6.598,-90.502,104.79,-127.327,-88.898,67.285,-171.665,21.582,17.933,-721.94,-78.605,682.433,5.445
